Macro-secteur;Filière;Détail ;Année;Marchés d'investissements intérieurs (M€);Marché - Fabrication des équipements en France pour marché intérieur (M€);Marché - Importation des équipements (M€);Marché - Vente et distribution des équipements (M€);Marché - Construction, installation, raccordement (M€);Marché - Montage de projets, études, DPE (M€);Marché - Exploitation-maintenance, vente intérieure d'énergie (M€);Marché - Exportation (équipements et/ou biocarburants) (M€);Marché - Total (M€);Emplois liés aux investissements;Emploi - Fabrication des équipements pour marché intérieur (ETP);Emploi - Vente et distribution des équipements (ETP);Emploi - Construction, installation, raccordement (ETP);Emploi - Montage de projets, études, DPE (ETP);Emploi - Exploitation-maintenance, vente intérieure d'énergie (ETP);Emploi - Exportations (équipements et/ou biocarburants) (ETP);Emploi - Total (ETP)
EnR&R;Solaire photovoltaïque;;2008;810;253;216;113;178;50;32;91;933;4 920;890;0;3 780;250;30;320;5 270
EnR&R;Solaire photovoltaïque;;2009;1 785;333;566;364;402;120;100;33;1 918;10 140;1 290;0;8 240;610;150;130;10 420
EnR&R;Solaire photovoltaïque;;2010;5 924;620;2 336;1 100;1 435;433;381;64;6 369;31 620;2 410;0;26 920;2 290;460;250;32 330
EnR&R;Solaire photovoltaïque;;2011;4 484;570;1 902;0;1 499;513;1 202;45;5 731;31 040;2 210;0;26 140;2 690;1 050;170;32 260
EnR&R;Solaire photovoltaïque;;2012;1 668;335;569;0;597;167;2 211;22;3 901;11 330;1 250;0;9 210;870;1 310;80;12 720
EnR&R;Solaire photovoltaïque;;2013;1 350;252;553;0;503;42;2 422;7;3 779;8 380;1 010;0;7 150;220;1 350;30;9 760
EnR&R;Solaire photovoltaïque;;2014;1 555;241;687;0;570;57;2 648;10;4 213;6 740;870;0;5 580;290;1 420;40;8 200
EnR&R;Solaire photovoltaïque;;2015;1 140;184;528;0;398;30;2 870;42;4 052;4 790;640;0;4 000;150;1 640;150;6 580
EnR&R;Solaire photovoltaïque;;2016;641;159;234;0;227;21;2 955;15;3 611;2 790;510;0;2 170;110;1 780;50;4 620
EnR&R;Solaire photovoltaïque;;2017;1 215;191;565;0;414;45;3 181;12;4 408;5 080;600;0;4 250;230;2 010;40;7 130
EnR&R;Solaire photovoltaïque;;2018;903;179;374;0;318;32;3 225;3;4 131;4 080;540;0;3 380;160;2 230;10;6 320
EnR&R;Solaire photovoltaïque;;2019;1 136;182;508;0;406;40;3 445;10;4 591;5 270;590;0;4 480;200;2 480;30;7 780
EnR&R;Solaire photovoltaïque;;2020;2 053;249;981;0;754;69;3 828;10;5 891;9 870;880;0;8 630;360;2 810;40;12 720
EnR&R;Solaire photovoltaïque;;2021;3 185;285;1 722;0;1 071;107;4 601;14;7 800;12 100;990;0;10 580;530;3 490;50;15 640
